Track ID,Frame,Center X,Center Y,Mask Area
285,1,1163,588,27731
285,2,1167,586,27776
285,3,1180,589,28385
285,4,1184,589,28096
285,5,1167,596,29363
285,6,1134,584,30866
285,7,1181,584,28991
285,8,1203,592,28521
285,9,1194,590,28809
285,10,1202,589,29133
285,11,1201,590,29490
285,12,1132,579,34648
285,13,1216,594,28651
285,14,1189,589,31654
285,15,1168,585,34697
285,16,1176,589,33952
285,17,1188,587,36195
285,18,1177,581,38058
285,19,1230,593,29931
285,20,1240,599,29496
285,21,1210,598,31513
285,22,1212,597,31107
285,23,1198,596,31559
285,24,1188,595,33955
285,25,1196,594,33906
285,26,1181,593,35931
285,27,1219,604,37814
285,28,1195,595,39233
285,29,1216,602,37709
285,36,1178,607,35959
285,37,1188,609,36830
285,38,1194,610,35277
285,39,1179,610,36074
285,40,1176,608,37097
285,41,1172,606,37729
285,42,1164,602,38043
285,43,1158,600,37408
285,44,1164,604,37487
285,45,1161,600,37646
402,2,431,438,809
402,3,431,437,780
402,4,431,432,816
402,5,434,430,801
402,6,435,428,753
402,7,435,428,696
402,8,435,425,602
402,9,439,424,618
402,10,442,421,575
402,11,442,419,529
402,14,430,461,885
402,15,430,457,854
402,16,431,459,846
402,17,431,459,850
402,22,474,489,1244
402,23,472,483,1231
402,24,471,483,1132
402,25,474,482,1050
402,26,481,478,1233
402,27,494,486,1127
402,28,507,486,1248
402,29,495,487,1302
402,32,498,477,1359
402,33,506,473,1169
402,38,445,430,797
402,39,448,425,749
402,40,455,419,737
403,3,1713,858,512
403,4,1711,857,490
403,5,1711,858,574
403,6,1718,859,704
403,7,1720,859,749
403,8,1712,870,1087
403,9,1724,856,852
403,10,1724,857,816
403,11,1727,858,809
403,12,1728,856,828
403,13,1715,877,1186
403,14,1717,875,1132
403,15,1726,873,968
403,16,1735,871,802
403,17,1738,867,617
403,18,1736,870,841
403,19,1739,863,915
403,20,1739,860,941
403,21,1733,832,1565
403,22,1731,833,1561
403,23,1732,826,1709
403,24,1738,828,1637
403,25,1742,827,1395
403,26,1743,824,1379
403,27,1742,823,1424
403,28,1741,822,1620
403,29,1737,825,1677
403,30,1740,824,1815
403,31,1739,825,1743
403,32,1736,831,1642
403,33,1736,830,1684
403,34,1738,830,1758
403,35,1739,833,1759
403,36,1741,833,1709
403,37,1742,834,1773
403,38,1745,850,1387
403,39,1745,834,1847
403,40,1750,830,1945
403,41,1747,836,1626
404,8,531,552,2863
404,9,533,554,3029
404,10,529,550,2937
404,11,530,551,2897
404,12,516,529,3087
404,13,549,549,2323
404,14,546,564,1973
404,15,547,555,2328
404,16,544,573,2001
404,17,543,572,2015
404,18,519,558,2370
404,19,513,554,2506
404,20,512,556,2404
394,9,884,583,9964
394,10,876,593,10035
394,11,877,595,10449
394,12,888,601,10650
394,15,872,574,17927
394,16,896,595,13287
394,17,862,582,18528
394,18,898,593,14531
394,27,814,614,15628
394,28,817,618,15320
394,29,812,622,15502
394,30,805,619,15960
394,31,801,621,16162
394,32,805,625,15637
394,33,795,626,15952
394,34,781,618,17447
394,35,778,615,18038
394,36,773,616,17749
394,37,781,624,16974
394,38,784,629,16620
394,39,779,625,17391
394,40,769,627,17011
394,41,758,621,17623
394,42,754,615,17615
394,43,755,616,17781
394,44,754,619,18104
394,45,759,621,18342
405,17,574,471,462
405,18,593,480,418
405,19,603,483,376
405,20,600,481,330
405,21,609,484,293
405,22,616,489,255
405,23,614,486,276
405,24,621,494,257
405,25,625,496,214
407,19,1263,515,504
407,20,1267,516,523
407,21,1267,517,560
407,22,1261,514,561
407,23,1261,511,554
407,24,1261,511,585
407,25,1261,512,693
407,26,1259,515,664
407,27,1263,514,668
407,28,1266,515,769
407,29,1268,515,812
407,30,1272,513,789
407,31,1271,513,894
407,32,1271,511,759
407,36,1279,508,1106
407,37,1279,509,1072
407,38,1278,509,1081
407,39,1277,511,1164
407,40,1261,509,992
407,41,1241,517,826
407,42,1230,514,832
407,43,1226,517,837
408,24,1134,386,479
408,25,1149,394,306
408,26,1147,391,236
409,25,914,353,253
409,26,925,357,179
409,27,924,368,203
409,28,928,365,178
409,29,935,373,133
409,30,937,377,169
410,26,1639,577,12132
410,27,1649,571,12140
410,28,1650,571,11560
410,29,1665,567,11872
410,30,1672,568,11504
410,31,1673,565,11713
410,32,1643,590,15328
410,33,1638,583,15114
410,35,1701,596,13872
410,36,1705,595,13822
410,37,1708,596,14010
410,38,1710,592,13563
410,39,1710,559,11330
410,40,1715,558,10719
410,41,1721,558,10591
410,42,1728,559,10057
410,43,1731,587,11061
410,44,1680,583,14056
410,45,1486,597,21041
411,32,636,517,240
411,33,636,519,249
411,34,640,519,149
411,35,634,529,245
411,36,635,534,174
413,45,1108,749,321
